,trail_url,trail,review_text,trail_avg_star,difficulty,distance,elevation,route_type,location,tag_list,short_description,trail_id
0,www.alltrails.com/trail/us/california/alamere-falls-via-coast-trail-from-palomarin-trailhead,Alamere Falls via Coast Trail from Palomarin Trailhead,Excellent Christmas Day hike on a rainy day. I took a shortcut where the arrow made of rocks on the ground points. Climbed down to the beach for a better view of the waterfall. A must do hike if you are in the Bay Area.,4.5,moderate,12.2 mi,1614 ft,Out & back,Point Reyes National Seashore,"['Hiking', 'Nature trips', 'Bird watching', 'Beach', 'Forest', 'Lake', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Bugs', 'Over grown', 'Rocky', 'No dogs']","Alamere Falls via Coast Trail from Palomarin Trailhead is a 12.2 mile heavily trafficked out and back trail located near Bolinas, California that features a lake and is rated as moderate. The trail is primarily used for hiking, nature trips, and bird watching and is accessible year-round.",0
1,www.alltrails.com/trail/us/california/backbone-trail-to-sandstone-peak-and-mishe-mokwa-trail-loop,Backbone Trail to Sandstone Peak and Mishe Mokwa Trail Loop,Awesome. One of my favorite hikes in the Santa Monica Mountains. Highly recommended.,4.5,moderate,5.7 mi,1312 ft,Loop,Santa Monica Mountains National Recreation Area,"['Dogs on leash', 'Hiking', 'Nature trips', 'Bird watching', 'running', 'Forest', 'Views', 'Wildflowers', 'Wildlife', 'Rocky', 'Scramble']","Backbone Trail to Sandstone Peak and Mishe Mokwa Trail Loop is a 5.7 mile heavily trafficked loop trail located near Malibu, California that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, running, nature trips, and bird watching and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",1
2,www.alltrails.com/trail/us/california/barker-dam-nature-trail-loop,Barker Dam Nature Trail,,4.5,easy,1.3 mi,62 ft,Loop,Joshua Tree National Park,"['Kid friendly', 'Hiking', 'Walking', 'Lake', 'Views', 'Wildflowers', 'Wildlife', 'Rocky', 'No shade', 'Historic site', 'Fee', 'No dogs']","Barker Dam Nature Trail is a 1.3 mile heavily trafficked loop trail located near Blythe, California that features a lake and is good for all skill levels. The trail is primarily used for hiking and walking and is accessible year-round.",2
3,www.alltrails.com/trail/us/california/bassi-falls,Bassi Falls,"At this time of the year, the fall is roaring. It is so beautiful. If you are physically fit to climb up to the top of the Bassi Fall it is even better. On the left there is a trail but at some point you will have to climb some big rocks. 

Once you are at the top, the view is breathtaking. You can even walk by the stream. When I was there, there was not anyone else so while the base of the fall is crowded, you can have peace of mind and just watch the stream and the view. 

Trail is not super well marked. GPS would be helpful. Based on the time of the day you go, the parking might be an issue.",4.5,moderate,4.3 mi,518 ft,Out & back,El Dorado National Forest,"['dog friendly', 'Kid friendly', 'Hiking', 'Nature trips', 'Snowshoeing', 'Walking', 'Bird watching', 'Forest', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","Bassi Falls is a 4.3 mile heavily trafficked out and back trail located near Kyburz, California that features a waterfall and is rated as moderate. The trail offers a number of activity options and is best used from April until September. Dogs are also able to use this trail.",3
4,www.alltrails.com/trail/us/california/bear-lake-woodland-trail,Bear Lake Woodland Trail,,4.5,easy,1.6 mi,232 ft,Loop,San Bernardino National Forest,"['Dogs on leash', 'Kid friendly', 'Hiking', 'Horseback riding', 'Mountain biking', 'Walking', 'running', 'Forest', 'Lake', 'Views', 'Wildflowers', 'Bugs']","Bear Lake Woodland Trail is a 1.6 mile heavily trafficked loop trail located near Big Bear City, California that features a lake and is good for all skill levels. The trail offers a number of activity options and is best used from March until November. Dogs are also able to use this trail but must be kept on leash.",4
5,www.alltrails.com/trail/us/california/beaudry-loop,Beaudry Loop,,4.5,moderate,5.5 mi,1515 ft,Loop,Brand Park,"['dog friendly', 'Hiking', 'Mountain biking', 'running', 'Views', 'Wildflowers', 'Wildlife', 'Rocky']","Beaudry Loop is a 5.5 mile heavily trafficked loop trail located near Glendale, California that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, running, and mountain biking and is best used from October until June. Dogs are also able to use this trail.",5
6,www.alltrails.com/trail/us/california/berry-creek-falls-trail,Berry Creek Falls Loop,"Awesome trail, great views and a killer workout! Make sure you take plenty of water and sunscreen. Feel free to follow me on my Instagram account for more dope hiking adventures! @sertanusanmaz ",4.5,hard,10.2 mi,2339 ft,Loop,West Waddell Creek State Wilderness,"['Hiking', 'Nature trips', 'Bird watching', 'Forest', 'River', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Bugs', 'Muddy', 'Rocky', 'Scramble', 'Fee', 'No dogs']","Berry Creek Falls Loop is a 10.2 mile heavily trafficked loop trail located near Boulder Creek, California that features a waterfall and is rated as difficult. The trail is primarily used for hiking, nature trips, and bird watching and is accessible year-round.",6
7,www.alltrails.com/trail/us/california/big-horn-mine-trail,Big Horn Mine Trail,,4.5,easy,3.9 mi,633 ft,Out & back,Sheep Mountain Wilderness,"['Dogs on leash', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Cave', 'Forest', 'River', 'Views', 'Wildlife', 'Rocky', 'Snow', 'Washed out']","Big Horn Mine Trail is a 3.9 mile heavily trafficked out and back trail located near Valyermo, California that features a river and is good for all skill levels. The trail is primarily used for hiking, walking, nature trips, and bird watching and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",7
8,www.alltrails.com/trail/us/california/big-pine-lakes-trail,Big Pine Lakes Trail,"Spent 3 days 2 nights ... camped at Lake 3 both nights. Temps on Monday (11/30) night was around 28 degrees and Tuesday (12/01) was around 30 degrees. There’s a creek about .70 miles up that you can filter water from. Or you can break through the ice at the lake to get water too. I didn’t carry more than 1L the whole trip as water is plentiful to filter during the hikes. Temps during the day were around 45 degrees, colder in the snow areas.   I brought crampons but didn’t need to use them. Some areas on the trail had ice and were very slippery, be careful. Overall a great hike and WOW, everything you see is magical and breathtaking.  Definitely want to come again with warmer temps and enjoy taking a dip in the lakes.",5.0,hard,16.2 mi,4051 ft,Loop,John Muir Wilderness,"['dog friendly', 'Backpacking', 'Camping', 'Fishing', 'Hiking', 'Nature trips', 'Bird watching', 'ohv / off road driving', 'running', 'Forest', 'Lake', 'River', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Rocky']","Big Pine Lakes Trail is a 16.2 mile heavily trafficked loop trail located near Big Pine, California that features a lake and is rated as difficult. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail.",8
9,www.alltrails.com/trail/us/california/black-star-canyon-trail,Black Star Canyon Falls Trail,"Very easy hike on hard pack dirt road until waypoint, then rocky and very slow going until the top. 
",4.5,hard,6.8 mi,941 ft,Out & back,Cleveland National Forest,"['dog friendly', 'Hiking', 'Mountain biking', 'Nature trips', 'Rock climbing', 'Bird watching', 'Cave', 'Forest', 'Partially paved', 'River', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Bugs', 'Over grown', 'Rocky', 'Scramble']","Black Star Canyon Falls Trail is a 6.8 mile heavily trafficked out and back trail located near Silverado, California that features a waterfall and is rated as difficult. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail.",9
